,c++,java,python,mysql,mssql,oraclesql,c,csharp,javascript,ruby,bash,swift,golang,scala,html,pythonml,kotlin,rust,php,typescript,racket,erlang,elixir,dart,total
剑指 Offer 03: 数组中重复的数字,862,1425,837,0,0,0,243,0,429,2,3,38,3,7,0,0,8,19,34,12,0,0,0,0,4063
剑指 Offer 22: 链表中倒数第k个节点,691,1198,616,0,0,0,258,0,295,1,1,32,1,3,0,0,3,16,24,14,2,0,1,0,3368
剑指 Offer 06: 从尾到头打印链表,783,1169,554,0,0,0,232,0,254,1,2,35,3,8,0,0,5,12,24,18,0,0,0,0,3300
剑指 Offer 04: 二维数组中的查找,728,1172,781,0,0,0,120,0,312,2,3,29,2,5,0,0,8,13,18,13,0,0,0,0,3247
剑指 Offer 05: 替换空格,834,992,638,0,0,0,200,0,293,3,4,31,2,3,0,0,5,14,26,16,0,0,0,0,3152
剑指 Offer 58 - II: 左旋转字符串,689,814,654,0,0,0,218,0,275,0,0,25,2,8,0,0,3,13,32,10,1,0,0,0,2826
剑指 Offer 09: 用两个栈实现队列,635,927,647,0,0,0,121,0,266,1,1,31,0,6,0,0,6,10,19,19,0,0,0,0,2713
剑指 Offer 24: 反转链表,582,996,496,0,0,0,219,0,196,1,2,31,3,4,0,0,2,10,26,7,0,0,0,0,2697
剑指 Offer 10- I: 斐波那契数列,643,854,580,0,0,0,180,0,230,3,1,28,1,7,0,0,9,14,16,16,1,2,1,0,2638
剑指 Offer 21: 调整数组顺序使奇数位于偶数前面,553,866,563,0,0,0,122,0,231,1,2,21,1,4,0,0,1,12,8,10,1,0,0,0,2447
剑指 Offer 53 - I: 在排序数组中查找数字 I,589,844,593,0,0,0,98,0,233,0,1,13,0,1,0,0,2,12,10,10,0,0,0,0,2438
剑指 Offer 40: 最小的k个数,568,774,595,0,0,0,147,0,220,2,1,16,0,5,0,0,1,10,16,6,0,0,0,0,2421
剑指 Offer 11: 旋转数组的最小数字,542,904,570,0,0,0,119,0,208,1,3,22,1,1,0,0,4,5,12,5,0,0,0,0,2419
面试题13: 机器人的运动范围,709,753,531,0,0,0,103,0,159,0,2,18,1,3,0,0,3,10,8,7,0,0,0,0,2388
剑指 Offer 57 - II: 和为s的连续正数序列,557,495,528,0,0,0,69,0,194,0,1,17,1,3,0,0,4,10,14,8,0,0,0,0,2349
剑指 Offer 53 - II: 0～n-1中缺失的数字,534,861,550,0,0,0,97,0,206,0,1,14,0,2,0,0,4,6,11,11,0,0,0,0,2327
剑指 Offer 46: 把数字翻译成字符串,681,695,483,0,0,0,90,0,130,1,0,15,1,2,0,0,6,4,9,7,0,0,0,0,2160
剑指 Offer 18: 删除链表的节点,448,782,415,0,0,0,180,0,168,2,1,18,3,3,0,0,2,8,7,10,0,0,0,0,2133
剑指 Offer 42: 连续子数组的最大和,543,706,517,0,0,0,122,0,167,1,3,21,0,2,0,0,1,10,14,4,0,0,0,0,2129
剑指 Offer 27: 二叉树的镜像,522,746,386,0,0,0,82,0,155,0,1,24,3,4,0,0,3,10,8,7,0,0,0,0,2084
剑指 Offer 29: 顺时针打印矩阵,577,641,498,0,0,0,75,0,189,0,0,15,3,4,0,0,6,10,8,6,0,0,0,0,2054
剑指 Offer 07: 重建二叉树,558,607,483,0,0,0,90,0,173,1,3,17,1,4,0,0,4,6,12,12,0,0,0,0,2031
剑指 Offer 26: 树的子结构,594,604,396,0,0,0,65,0,142,0,1,14,4,2,0,0,3,5,8,7,1,0,0,0,1944
剑指 Offer 10- II: 青蛙跳台阶问题,500,607,413,0,0,0,120,0,174,2,1,10,0,3,0,0,2,12,11,11,0,1,0,0,1938
剑指 Offer 32 - III: 从上到下打印二叉树 III,626,624,368,0,0,0,50,0,167,1,0,11,1,3,0,0,2,4,10,11,0,0,0,0,1935
剑指 Offer 14- I: 剪绳子,606,631,398,0,0,0,66,0,136,0,0,16,0,1,0,0,1,5,5,10,0,0,0,0,1925
剑指 Offer 30: 包含min函数的栈,538,602,341,0,0,0,71,0,154,1,0,15,1,4,0,0,1,5,9,10,0,0,0,0,1819
剑指 Offer 25: 合并两个排序的链表,423,613,348,0,0,0,120,0,156,0,4,18,1,2,0,0,1,6,9,4,0,0,0,0,1785
剑指 Offer 32 - II: 从上到下打印二叉树 II,531,527,336,0,0,0,57,0,167,0,1,12,3,3,0,0,1,8,7,5,0,0,0,0,1732
剑指 Offer 54: 二叉搜索树的第k大节点,483,543,347,0,0,0,64,0,160,0,0,16,0,0,0,0,2,7,8,11,0,0,0,0,1730
剑指 Offer 12: 矩阵中的路径,516,549,360,0,0,0,51,0,123,1,2,20,1,5,0,0,2,6,7,7,0,0,0,0,1728
